iter	RMSE
0	3.977920638
1	3.970467461
2	3.963740314
3	3.954742421
4	3.945725035
5	3.936926814
6	3.927850973
7	3.919018585
8	3.910496554
9	3.901908015
10	3.893050054
11	3.88474804
12	3.875877367
13	3.867176659
14	3.858511047
15	3.849841667
16	3.841202419
17	3.832528641
18	3.824239141
19	3.816151497
20	3.807568591
21	3.79983741
22	3.791476788
23	3.783804496
24	3.775905712
25	3.768174056
26	3.760408006
27	3.754380036
28	3.746153821
29	3.738007589
30	3.730137431
31	3.722616233
32	3.714572515
33	3.706826285
34	3.699174638
35	3.691386655
36	3.684134979
37	3.67697746
38	3.669518382
39	3.662172645
40	3.654696575
41	3.647399745
42	3.641355181
43	3.634109302
44	3.628192332
45	3.620933382
46	3.613725065
47	3.606214967
48	3.59889532
49	3.591819288
50	3.586355342
51	3.579270336
52	3.572382286
53	3.565605439
54	3.558316742
55	3.551419206
56	3.544348227
57	3.537473923
58	3.531554502
59	3.524873716
60	3.517831787
61	3.510914654
62	3.504025447
63	3.497585726
64	3.490841839
65	3.484464849
66	3.477707017
67	3.471970222
68	3.465716381
69	3.460145188
70	3.45393019
71	3.447592497
72	3.441002135
73	3.435796891
74	3.429842944
75	3.423293924
76	3.417928177
77	3.412729329
78	3.406876736
79	3.401363211
80	3.395036819
81	3.388725951
82	3.38261014
83	3.376426252
84	3.370504304
85	3.364323699
86	3.358486368
87	3.352466101
88	3.346777386
89	3.34086477
90	3.336063789
91	3.330138306
92	3.324597644
93	3.318703963
94	3.312978677
95	3.307540828
96	3.301576341
97	3.29611589
98	3.291885271
99	3.286146608
100	3.280782256
101	3.275282215
102	3.269708136
103	3.26394179
104	3.259472129
105	3.253824511
106	3.248717499
107	3.24323365
108	3.238454735
109	3.232947453
110	3.228558924
111	3.223473743
112	3.218238578
113	3.213622672
114	3.208353531
115	3.203062174
116	3.197710387
117	3.193453502
118	3.189087583
119	3.183779854
120	3.178643009
121	3.174052856
122	3.1689088
123	3.164091954
124	3.159544277
125	3.155972634
126	3.150701022
127	3.145859415
128	3.140954988
129	3.136373
130	3.131700133
131	3.12734549
132	3.123639352
133	3.11907557
134	3.114243265
135	3.109399323
136	3.104634728
137	3.099786754
138	3.095298881
139	3.090650149
140	3.085997554
141	3.081215988
142	3.076504029
143	3.072690344
144	3.068132807
145	3.063901887
146	3.059418835
147	3.054830116
148	3.050740078
149	3.046255762
150	3.041862055
151	3.03842388
152	3.034477733
153	3.030539009
154	3.026339562
155	3.02292348
156	3.01863447
157	3.0143109
